username, deviceName, position, distance, timestamp,targetPointX, targetPointY, gazePointX, gazePointY,faceTransform_0_x, faceTransform_0_y, faceTransform_0_z, faceTransform_0_w,faceTransform_1_x, faceTransform_1_y, faceTransform_1_z, faceTransform_1_w,faceTransform_2_x, faceTransform_2_y, faceTransform_2_z, faceTransform_2_w,faceTransform_3_x, faceTransform_3_y, faceTransform_3_z, faceTransform_3_w,rightEyeTransform_0_x, rightEyeTransform_0_y, rightEyeTransform_0_z, rightEyeTransform_0_w,rightEyeTransform_1_x, rightEyeTransform_1_y, rightEyeTransform_1_z, rightEyeTransform_1_w,rightEyeTransform_2_x, rightEyeTransform_2_y, rightEyeTransform_2_z, rightEyeTransform_2_w,rightEyeTransform_3_x, rightEyeTransform_3_y, rightEyeTransform_3_z, rightEyeTransform_3_w,leftEyeTransform_0_x, leftEyeTransform_0_y, leftEyeTransform_0_z, leftEyeTransform_0_w,leftEyeTransform_1_x, leftEyeTransform_1_y, leftEyeTransform_1_z, leftEyeTransform_1_w,leftEyeTransform_2_x, leftEyeTransform_2_y, leftEyeTransform_2_z, leftEyeTransform_2_w,leftEyeTransform_3_x, leftEyeTransform_3_y, leftEyeTransform_3_z, leftEyeTransform_3_w,lookAtPointX, lookAtPointY, lookAtPointZ
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.5248508,0.0,0.0,733.9854761371462,3393.688580982329,0.9994173,0.03213099,0.011517948,0.0,-0.025323814,0.9242454,-0.38095835,0.0,-0.022885986,0.38044468,0.92452055,0.0,0.052849542,0.076456025,-0.7561937,1.0,0.99996275,-0.0029599948,0.008114061,0.0,0.0,0.93944246,0.3427069,0.0,-0.008637103,-0.34269413,0.93940747,0.0,-0.033272002,0.02984902,0.026570456,1.0,0.9966923,-0.027766688,0.07637695,0.0,0.0,0.93982005,0.3416697,0.0,-0.081267625,-0.34053957,0.93671143,0.0,0.033238605,0.029811393,0.026530312,1.0,-0.041152015,-0.30297256,0.93888086
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.541286,0.0,0.0,737.4823595008512,3379.1504355415586,0.9994298,0.031627264,0.011818478,0.0,-0.024768159,0.9246675,-0.37996963,0.0,-0.022945568,0.37946033,0.9249235,0.0,0.05286986,0.07656287,-0.7564113,1.0,0.9999657,-0.0028348032,0.007772272,0.0,0.0,0.9394621,0.3426527,0.0,-0.008273108,-0.342641,0.93943,0.0,-0.033272002,0.02984902,0.026570456,1.0,0.9967197,-0.02764809,0.0760625,0.0,0.0,0.93983716,0.34162304,0.0,-0.080931574,-0.3405024,0.9367542,0.0,0.033238605,0.029811393,0.026530312,1.0,-0.040817358,-0.3027996,0.9385729
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.558014,0.0,0.0,745.2047930106404,3337.0224029548526,0.99946016,0.03066726,0.011782152,0.0,-0.023908637,0.9249408,-0.37935847,0.0,-0.022531692,0.37887198,0.92517483,0.0,0.052922904,0.07650306,-0.7565256,1.0,0.9999671,-0.0027893991,0.0076131173,0.0,0.0,0.9389591,0.3440288,0.0,-0.008108039,-0.34401748,0.93892825,0.0,-0.033272002,0.02984902,0.026570456,1.0,0.99672925,-0.027718829,0.075910755,0.0,0.0,0.9393359,0.3429987,0.0,-0.080813214,-0.34187686,0.93626356,0.0,0.033238605,0.029811393,0.026530312,1.0,-0.04066218,-0.30410537,0.9380035
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.574213,0.0,0.0,754.1035165584932,3314.29985691431,0.99948895,0.029710308,0.0118019525,0.0,-0.023027703,0.92517114,-0.37885115,0.0,-0.022174602,0.37838572,0.9253824,0.0,0.052966326,0.07646158,-0.75670546,1.0,0.99996954,-0.002688471,0.0073223663,0.0,0.0,0.93872684,0.34466177,0.0,-0.007800316,-0.3446513,0.9386983,0.0,-0.033272002,0.02984902,0.026570456,1.0,0.99675107,-0.027677728,0.07563879,0.0,0.0,0.93910277,0.34363624,0.0,-0.080543675,-0.34251982,0.9360517,0.0,0.033238605,0.029811393,0.026530312,1.0,-0.040378224,-0.30463883,0.93755966
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.591289,0.0,0.0,758.9581394641418,3312.6053719558113,0.9995052,0.029146587,0.011809163,0.0,-0.022511955,0.9253351,-0.37848097,0.0,-0.021958873,0.3780279,0.9255337,0.0,0.052981053,0.076512225,-0.75693226,1.0,0.9999708,-0.0026323902,0.0071717286,0.0,0.0,0.9387596,0.34457266,0.0,-0.007639579,-0.34456262,0.93873227,0.0,-0.033272002,0.02984902,0.026570456,1.0,0.9967628,-0.027621025,0.07550521,0.0,0.0,0.93913424,0.34355044,0.0,-0.080398746,-0.3424383,0.9360941,0.0,0.033238605,0.029811393,0.026530312,1.0,-0.04023041,-0.3044743,0.93738
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.6080952,0.0,0.0,773.5041740137762,3322.1654418904013,0.9995011,0.029427705,0.011472827,0.0,-0.022905057,0.9254242,-0.37823993,0.0,-0.02174797,0.37778845,0.9256365,0.0,0.05295217,0.076776445,-0.7569533,1.0,0.9999742,-0.0024732193,0.0067459787,0.0,0.0,0.9388901,0.3442171,0.0,-0.007185057,-0.3442082,0.93886584,0.0,-0.033272002,0.02984902,0.026570456,1.0,0.99679697,-0.027447147,0.07511551,0.0,0.0,0.9392604,0.343205,0.0,-0.079973035,-0.34210575,0.93625206,0.0,0.033238605,0.029811393,0.026530312,1.0,-0.039814178,-0.30396897,0.9370722
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.624501,0.0,0.0,767.1089276788741,3358.4126936657226,0.9994673,0.030532816,0.011530469,0.0,-0.023878662,0.92492557,-0.37939775,0.0,-0.022248913,0.3789203,0.92516196,0.0,0.05288753,0.077064425,-0.7566968,1.0,0.99997354,-0.0024985871,0.0068225204,0.0,0.0,0.9390098,0.34389016,0.0,-0.0072656535,-0.3438811,0.93898505,0.0,-0.033160552,0.029891865,0.026577326,1.0,0.9968112,-0.027360862,0.07495862,0.0,0.0,0.9393774,0.34288484,0.0,-0.07979607,-0.34179145,0.93638194,0.0,0.033129413,0.02985722,0.026533946,1.0,-0.039777633,-0.30364308,0.9372877
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.641289,0.0,0.0,758.4496505382492,3385.037527640035,0.99945235,0.030995453,0.0115979845,0.0,-0.024261642,0.9245848,-0.38020268,0.0,-0.022507858,0.37971306,0.92483044,0.0,0.052799825,0.07726426,-0.75640714,1.0,0.9999725,-0.0025480166,0.0069658677,0.0,0.0,0.9391434,0.34352547,0.0,-0.0074172565,-0.34351602,0.9391176,0.0,-0.033160552,0.029891865,0.026577326,1.0,0.9967997,-0.027380805,0.07510438,0.0,0.0,0.93951136,0.3425177,0.0,-0.07993982,-0.34142157,0.9365047,0.0,0.033129413,0.02985722,0.026533946,1.0,-0.03991631,-0.3032719,0.9373684
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.657668,0.0,0.0,756.3685992453982,3386.9682077366538,0.99943835,0.031358123,0.011819963,0.0,-0.024508521,0.92450666,-0.38037723,0.0,-0.02285555,0.37987387,0.92475593,0.0,0.05276056,0.077325605,-0.7565787,1.0,0.9999736,-0.002496944,0.006820524,0.0,0.0,0.9390504,0.34377947,0.0,-0.007263214,-0.3437704,0.93902564,0.0,-0.033160552,0.029891865,0.026577326,1.0,0.99681294,-0.027344616,0.074941345,0.0,0.0,0.9394176,0.34277493,0.0,-0.07977426,-0.3416825,0.9364236,0.0,0.033129413,0.02985722,0.026533946,1.0,-0.03977719,-0.303611,0.93753266
lucas,iPad Mini 6th,Top,Arms Extended,1715166809.6747088,0.0,0.0,755.2727781177506,3385.1063780446693,0.99946827,0.030476367,0.011607591,0.0,-0.023760634,0.92430556,-0.38091308,0.0,-0.022337802,0.3804347,0.9245381,0.0,0.052731436,0.07724948,-0.75696826,1.0,0.999971,-0.0026238158,0.0071483892,0.0,0.0,0.9387599,0.34457177,0.0,-0.0076147146,-0.3445618,0.93873274,0.0,-0.033160552,0.029891865,0.026577326,1.0,0.9967834,-0.027533673,0.0752647,0.0,0.0,0.9391317,0.3435574,0.0,-0.08014286,-0.3424523,0.93611085,0.0,0.033129413,0.02985722,0.026533946,1.0,-0.040095452,-0.304389,0.93727416
